1000268201_693b08cb0e.jpg,[[-0.         1.8022305 -0.        ... -0.        -0.        -0.       ]]
,
1001773457_577c3a7d70.jpg,[[-0.        -0.        -0.        ... -0.         1.2716494 -0.       ]]
,
1002674143_1b742ab4b8.jpg,[[-0.       -0.       -0.       ... -0.        1.361025 -0.      ]]
,
1003163366_44323f5815.jpg,[[-0.         1.0233293  2.6004548 ... -0.        -0.        -0.       ]]
,
1007129816_e794419615.jpg,[[-0. -0. -0. ... -0. -0. -0.]]
,
1007320043_627395c3d8.jpg,[[-0. -0. -0. ... -0. -0. -0.]]
,
1009434119_febe49276a.jpg,[[-0.        -0.        -0.        ... -0.         3.9740083 -0.       ]]
,
1012212859_01547e3f17.jpg,"[[ 3.2802919e-01  7.3265749e-01  1.2993813e-03 ... -0.0000000e+00
   4.4103627e+00 -0.0000000e+00]]"
,
1015118661_980735411b.jpg,"[[-0.         -0.          0.1697554  ... -0.          0.23985624
  -0.        ]]"
,
1015584366_dfcec3c85a.jpg,[[-0.        -0.         2.7051132 ... -0.        -0.        -0.       ]]
,
101654506_8eb26cfb60.jpg,"[[ 0.30102384 -0.         -0.         ... -0.          3.4826605
  -0.        ]]"
,
101669240_b2d3e7f17b.jpg,"[[ 0.15823719 -0.         -0.         ... -0.          1.9541507
  -0.        ]]"
,
1016887272_03199f49c4.jpg,[[-0.        -0.         0.510702  ... -0.        -0.         1.1990299]]
,
1019077836_6fc9b15408.jpg,[[ 2.0707436  1.6898249 -0.        ... -0.         1.1272405 -0.       ]]
,
1019604187_d087bf9a5f.jpg,[[-0.        -0.        -0.        ... -0.         1.8407764 -0.       ]]
,
1020651753_06077ec457.jpg,[[-0.        -0.        -0.        ... -0.         0.7760033  1.3479803]]
,
1022454332_6af2c1449a.jpg,[[-0.         1.0745053  1.7444901 ... -0.        -0.        -0.       ]]
,
1022454428_b6b660a67b.jpg,"[[ 0.56639683 -0.         -0.         ... -0.         -0.
  -0.        ]]"
,
1022975728_75515238d8.jpg,[[-0.        -0.        -0.        ... -0.         3.0103555 -0.       ]]
,
102351840_323e3de834.jpg,"[[-0.          1.9173685   2.0809221  ... -0.          1.3732927
   0.61121005]]"
,
1024138940_f1fefbdce1.jpg,[[-0. -0. -0. ... -0. -0. -0.]]
,
102455176_5f8ead62d5.jpg,[[-0.        -0.        -0.        ... -0.         2.7298467 -0.       ]]
,
